,Year,Nominal GDP (Ksh Million),Annual GDP Growth (%),Real GDP (Ksh Million),GDP Deflator
0,1960,5900,,37697.88044936187,0.15650747282530234
1,1961,6200,3.8,38164.47189609151,0.16245475679266383
2,1962,6600,9.2,37203.93396464078,0.1774005944175889
3,1963,7000,7.5,36705.78403840529,0.19070563899890805
4,1964,7500,4.8,37526.36045365862,0.19985950967085564
5,1965,8000,2.1,39204.81666722416,0.2040565593739436
6,1966,8600,11.5,37798.365845081586,0.2275230637019471
7,1967,9200,5.8,38218.77234083072,0.24071940139666007
8,1968,10000,7.9,38500.59670873869,0.2597362341069962
9,1969,10800,6.5,39042.85863421388,0.27661908932395096
10,1970,11700,5.2,40205.73211698198,0.29100328196879643
11,1971,12700,6.8,40863.40775038182,0.3107915051426746
12,1972,14000,17.1,38468.21200705672,0.363936852522072
13,1973,15500,5.9,40217.00297513687,0.3854091268208742
14,1974,18000,4.1,44864.1847821551,0.40121090102053003
15,1975,20500,2.0,50093.452507308255,0.4092351190409406
16,1976,23500,3.3,55589.74022722094,0.42273987796929163
17,1977,27000,9.5,58327.91163450754,0.4629001663763743
18,1978,31000,8.8,61552.46666223222,0.5036353810174953
19,1979,35500,5.2,67003.32903560787,0.529824420830405
20,1980,41000,4.1,74336.33668763575,0.5515472220844516
21,1981,47000,3.8,82095.20711308988,0.5725060165236608
22,1982,53000,2.0,90760.24148923163,0.5839561368541341
23,1983,59000,2.5,98570.717862212,0.5985550402754873
24,1984,66000,1.6,108529.08345966222,0.6081319209198951
25,1985,74000,4.1,116891.56952835276,0.6330653296776108
26,1986,83000,6.0,123686.8978946109,0.6710492494582674
27,1987,92000,5.9,129460.55731485948,0.7106411551763051
28,1988,103000,6.2,136477.90677383245,0.754700906797236
29,1989,115000,4.7,145537.96124841884,0.790171849416706
30,1990,129000,4.2,156675.26496742075,0.8233590670922077
31,1991,145000,1.4,173676.3865593016,0.8348860940314987
32,1992,163000,-0.8,196810.69945193382,0.8282070052792467
33,1993,183000,0.4,220078.9357887706,0.8315198333003637
34,1994,210000,2.6,246149.70608784622,0.8531393489661732
35,1995,240000,4.4,269457.8063359017,0.8906774803206848
36,1996,275000,4.1,296593.4067498118,0.9271952570138329
37,1997,310000,0.5,332678.26718205935,0.9318312332989019
38,1998,345000,3.3,358411.1487924632,0.9625816639977657
39,1999,380000,2.3,385896.09004812787,0.9847210422697142
40,2000,967838,0.0,982855.0,0.9847210422697142
41,2001,1020022,3.8,997927.4453987209,1.0221404418759634
42,2002,1035374,0.5,1007907.3710079821,1.0272511440853431
43,2003,1131783,2.9,1070708.271982918,1.057041427263818
44,2004,1274328,5.1,1147060.9663124569,1.1109505400542727
45,2005,1415823,5.7,1205699.9736742927,1.1742747208373663
46,2006,1622565,6.5,1297426.5597586776,1.250602577691795
47,2007,1833511,6.9,1371470.577820144,1.3368941555525289
48,2008,2107589,1.5,1553183.8148202847,1.3569475678858167
49,2009,3275642,2.7,2350514.4230223997,1.3935851522187337
50,2010,3597630,8.1,2388126.3007165054,1.5064655495484511
51,2011,4162514,5.1,2629019.3746671006,1.583295292575422
52,2012,4767191,4.6,2878517.986143981,1.6561268760338914
53,2013,5311322,3.8,3089666.9896167563,1.7190596973231793
54,2014,6003835,5.0,3326201.00636513,1.8050126821893384
55,2015,6884317,5.0,3632380.22959477,1.8952633162988055
56,2016,7594064,4.2,3845359.759328682,1.9748643755833555
57,2017,8483396,3.8,4138425.2090544067,2.0499092218555233
58,2018,9340307,5.6,4314819.21008565,2.1647041382794328
59,2019,10237727,5.1,4499893.973204149,2.275104049331684
60,2020,10715070,-0.3,4723877.107495135,2.2682787371836888
61,2021,12027662,7.6,4928020.684616047,2.4406679212096494
62,2022,13489642,4.9,5268854.951713777,2.560260649348922
63,2023,15108806,5.6,5588330.0175052015,2.7036352457124617
