Year,Nominal GDP (Ksh Million),Annual GDP Growth (%),Real GDP (Ksh Million)
1960,5900,,
1961,6200,3.8,
1962,6600,9.2,
1963,7000,7.5,
1964,7500,4.8,
1965,8000,2.1,
1966,8600,11.5,
1967,9200,5.8,
1968,10000,7.9,
1969,10800,6.5,
1970,11700,5.2,
1971,12700,6.8,
1972,14000,17.1,
1973,15500,5.9,
1974,18000,4.1,
1975,20500,2.0,
1976,23500,3.3,
1977,27000,9.5,
1978,31000,8.8,
1979,35500,5.2,
1980,41000,4.1,
1981,47000,3.8,
1982,53000,2.0,
1983,59000,2.5,
1984,66000,1.6,
1985,74000,4.1,
1986,83000,6.0,
1987,92000,5.9,
1988,103000,6.2,
1989,115000,4.7,
1990,129000,4.2,
1991,145000,1.4,
1992,163000,-0.8,
1993,183000,0.4,
1994,210000,2.6,
1995,240000,4.4,
1996,275000,4.1,
1997,310000,0.5,
1998,345000,3.3,
1999,380000,2.3,
2000,967838,0.00,982855
2001,1020022,3.80,1020111
2002,1035374,0.50,1025583
2003,1131783,2.90,1055658
2004,1274328,5.10,1109338
2005,1415823,5.70,1172784
2006,1622565,6.50,1249470
2007,1833511,6.90,1336849
2008,2107589,1.50,1357262
2009,3275642,2.70,5361462
2010,3597630,8.10,5793514
2011,4162514,5.10,6090206
2012,4767191,4.60,6368448
2013,5311322,3.80,6610312
2014,6003835,5.00,6942157
2015,6884317,5.00,7287024
2016,7594064,4.20,7594064
2017,8483396,3.80,7885521
2018,9340307,5.60,8330891
2019,10237727,5.10,8756946
2020,10715070,-0.30,8733060
2021,12027662,7.60,9395942
2022,13489642,4.90,9852583
2023,15108806,5.60,10399980
